,prompt,summary
333,Every day Ryan spends 6 hours on learning english and 7 hours on learning chinese.How many more hours does he spend on learning chinese than he does on learning english?,"var1 = find(english hours), var2 = find(chinese hours), var3 = subtract(var2, var1), CALL, return(var3)"
1621,Frankie and Max went trick-or-treating. Frankie got 74 pieces of candy. Max got 92 pieces of candy. How many more pieces of candy did Max get?,"var1 = find(candy Max got), var2 = find(candy Frankie got), var3 = subtract(var1, var2), CALL, return(var3)"
2024,2 toucans are sitting on a tree limb. 1 more toucan joins them. How many toucans in all?,"var1 = find(toucans on the tree limb), var2 = find(toucan joining the tree limb), var1 = add(var1, var2), CALL, return(var1)"
901,"A buffet offers ranch or caesar dressing. The ratio of ranch dressing used to caesar dressing used is 7:1. If the buffet uses 28 cases of ranch dressing, how many cases of caesar do they use?","var1 = find(ranch dressing cases), var2 = divide(var1, 7), var3 = multiply(var2, 1), CALL, return(var3)"
821,"A painter needed to paint 10 rooms in a building. Each room takes 8 hours to paint. If he already painted 8 rooms, how much longer will he take to paint the rest?","var1 = find(rooms to paint), var2 = find(painted rooms), var1 = subtract(var1, var2), CALL, var2 = find(hours per room), var3 = multiply(var1, var2), CALL, return(var3)"
891,While playing a video game Victor lost fourteen lives. Now he has two lives. What's the difference between the number of the lives that Victor lost and now?,"var1 = find(Victor's lives lost), var2 = find(Victor's lives now), var1 = subtract(var1, var2), CALL, return(var1)"
604,A book has 2 chapters. The first chapter is 60 pages long. If there are a total of 93 pages in the bookHow many pages are in the second chapter?,"var1 = find(pages in first chapter), var2 = find(pages in book), var3 = subtract(var2, var1), CALL, return(var3)"
1900,"There are 2 green books, 1 blue book, and 4 orange books in a bookshelf. If 3 of them are taken out to be read, how many books are left on the bookshelf?","var1 = find(green books), var2 = find(blue book), var3 = add(var1, var2), CALL, var4 = find(orange books), var5 = add(var3, var4), CALL, var6 = find(books taken), var7 = subtract(var5, var6), CALL, return(var7)"
1502,A store had 3 packs of paper for $3.87. How much would it cost if you were to buy 6 packs?,"var1 = find(3 packs price), var2 = divide(var1, 3), var3 = multiply(var2, 6), CALL, return(var3)"
1929,Ricky has a magic money box. Every day the box doubles the number of coins placed inside of it. Ricky put in 3 pennies on Monday. He looked inside his box on Friday. How many pennies did Ricky see?,"var1 = find(pennies on Monday), var2 = power(2, 4), var3 = multiply(var1, var2), return(var3)"
124,An industrial machine made 13 shirts yesterday and 3 shirts today. It can make 8 shirts a minute.How many minutes did the machine work in all?,"var1 = find(shirts made), var2 = add(13, 3), CALL, var3 = divide(var2, 8), CALL, return(var3)"
1199,"Virginia had 13 Sweettarts. If Virginia gave equal numbers of Sweettarts to her 4 friends and then she ate what was left, how many Sweettarts did each person eat?","var1 = find(Sweettarts), var2 = find(friends), var3 = divide(var1, var2), CALL, var4 = floor(var3), CALL, var5 = multiply(var4, var2), CALL, var6 = subtract(var1, var5), CALL, return(var4)"
1805,"When they got there, they saw that SFL is already filled with people. Every entrance has a long line, with 283 people waiting to get in. If SFL has 5 entrances, how many people in total are waiting to get in?","var1 = find(people per entrance), var2 = find(number of entrances), var1 = multiply(var1, var2), CALL, return(var1)"
1277,"At the fair the 'Twirly Tea Cups' ride can hold nine people per teacup. If the ride has seven tea cups, how many total people can ride at a time?","var1 = find(people per teacup), var2 = multiply(var1, 7), CALL, return(var2)"
2395,"Rob also matched the London Eye which stands at 443 ft and Las Vegas' High Roller standing at 550 ft. Being the tallest Ferris wheel in the world, how much taller is High Roller than the London Eye?","var1 = find(height of High Roller), var2 = find(height of London Eye), var1 = subtract(var1, var2), CALL, return(var1)"
2371,Two marbles are in the basket. Two marbles are taken out of the basket. How many marbles are in the basket now?,"var1 = find(initial marbles), var2 = find(marbles taken out), var3 = subtract(var1, var2), CALL, return(var3)"
1452,A mailman had to give 6 pieces of junk mail and 5 magazines to a house. How many pieces of mail did he deliver total?,"var1 = find(junk mail), var2 = find(magazines), var3 = add(var1, var2), CALL, return(var3)"
715,62 campers went rowing in the morning. 39 campers went rowing in the afternoon.How many more campers went rowing in the morning than in the afternoon?,"var1 = find(Morning rowing campers), var2 = find(Afternoon rowing campers), var3 = sub(var1, var2), CALL, return(var3)"
1521,Zachary did 47 push-ups in gym class today. David did 15 more push-ups than Zachary. How many push-ups did David do?,"var1 = find(Zachary push-ups), var2 = add(var1, 15), return(var2)"
2404,"Rug A is 8 feet by 4 feet, and Rug B is 5 feet by 7 feet. Which rug should Mrs. Hilt buy if she wants the rug with the biggest area?","var1 = find(area of rug A), var2 = find(area of rug B), if var1 < var2:, return(""Rug B""), else:, return(""Rug A"")"
2400,"For the frosting and final touches, Willie will need to have 300 lbs. of whipped cream. If he got 149 lbs. of cream from his farm, how much more cream is needed to be bought?","var1 = find(total cream needed), var2 = find(current cream), var1 = subtract(var1, var2), CALL, return(var1)"
361,Haley grew 20 trees in her backyard. After a typhoon 4 trees were left.How many trees died in the typhoon?,"var1 = find(total trees), var2 = find(left trees), var3 = subtract(var1, var2), CALL, return(var3)"
1513,"Anne had 15 Sweettarts. If Anne gave equal numbers of Sweettarts to her 3 friends, how many Sweettarts did each person eat?","var1 = find(Sweettarts), var2 = find(friends), var3 = divide(var1, var2), CALL, return(var3)"
1478,A store has forty-nine shirts. After selling some there were twenty-eight left. How many did they sell? ,"var1 = find(total shirts), var2 = find(left shirts), var3 = subtract(var1, var2), CALL, return(var3)"
2361,James ate 22 carrot sticks before dinner and 15 more after dinner. How many carrot sticks did he eat?,"var1 = find(ate carrot sticks before dinner), var2 = find(ate more carrot sticks after dinner), var3 = add(var1, var2), CALL, return(var3)"
508,3 birds were sitting on the fence. 2 more birds and 6 more storks came to join them.How many more storks than birds are sitting on the fence?,"var1 = find(initial birds), var2 = find(additional birds), var3 = add(var1, var2), var4 = find(additional storks), var5 = subtract(var4, var3), CALL, return(var5)"
1860,Sara's mother gave her $69 to go to the store. Sara bought 3 loaves of bread and 5 cartons of orange juice. Each loaf of bread cost $2 and each carton of orange juice cost $3. How much money does Sara have left?,"var1 = find(cost of bread), var2 = find(cost of orange juice), var3 = add(var1, var2), CALL, var4 = find(money given to Sara), var5 = subtract(var4, var3), CALL, return(var5)"
1822,"For finishing touches, he needed 70 gallons of paint. If he bought 23 gallons to add to his existing 36 gallons of paint, how much more paint will he need?","var1 = find(total gallons of paint needed), var2 = find(existing gallons of paint), var3 = find(gallons of paint bought), var2 = add(var2, var3), CALL, var1 = subtract(var1, var2), CALL, return(var1)"
443,He then went to see the oranges being harvested. He found out that they harvest 76 sacks per day and discard 64 of them.How many oranges do they harvest per day if each sack contains 50 oranges?,"var1 = find(sacks harvested per day), var2 = find(discarded sacks per day), var3 = subtract(var1, var2), var4 = find(oranges in one sack), var5 = multiply(var3, var4), CALL, return(var5)"
855,Roger went to the movies fifteen times last year and three times this year. How many times did Roger go to the movies all together?,"var1 = find(last year movies), var2 = find(this year movies), var1 = add(var1, var2), CALL, return(var1)"
1529,"The capacity of a tank is 32 gallons. If a company bought 728 gallons of oil, how much oil is in the tank that is not full?","var1 = find(gallons of oil), var2 = find(gallons per tank), var3 = divide(var1, var2), CALL, var3 = round_down(var3), CALL, var4 = multiply(var2, var3), CALL, var5 = subtract(var1, var4), CALL, return(var5)"
887,"Matthew had 27 crackers. If Matthew gave equal numbers of crackers to his 9 friends, how many crackers did each person eat?","var1 = find(crackers), var2 = find(friends), var3 = divide(var1, var2), CALL, return(var3)"
2127,Mrs. Hilt bought 15 books. She paid $11 for each book. She later sold all 15 books for $25 each. What is the difference between the total amount of money Mrs. Hilt sold the books for and the total amount of money she paid for the books?,"var1 = find(books bought), var2 = find(price per book bought), var3 = multiply(var1, var2), CALL, var4 = find(price per book sold), var5 = multiply(var1, var4), CALL, var6 = subtract(var5, var3), CALL, return(var6)"
2096,Julia played tag with 12 kids on Monday. She played tag with 7 kids on Tuesday. How many kids did she play with altogether?,"var1 = find(played with kids Monday), var2 = find(played with kids Tuesday), var3 = add(var1, var2), CALL, return(var3)"
2205,A bee has 6 legs. How many legs do 8 bees have?,"var1 = find(legs of 1 bee), var2 = find(number of bees), var3 = multiply(var1, var2), CALL, return(var3)"
1991,"After the framework was finished, they asked 239 monkeys and 622 termites to finish the rest of the building. How many workers finished the rest of the construction?","var1 = find(monkey workers), var2 = find(termite workers), var1 = add(var1, var2), CALL, return(var1)"
2131,Kate gave the clerk $1.00. Her candy cost 54 cents. How much change should Kate get back?,"var1 = find(Kate's money), var2 = find(candy cost), var1 = subtract(var1, var2), CALL, return(var1)"
170,Paul got a box of 253 crayons for his birthday. By the end of the school year he had either lost or given away 70 of them.How many crayons did he have left by the end of the school year?,"var1 = find(crayons), var2 = subtract(var1, 70), CALL, return(var2)"
1157,"Robin is making bead necklaces. She wants to use 31 beads to make 4 necklaces. If she wants each necklace to have the same number of beads, how many beads will she have left over?","var1 = find(""beads""), var2 = find(""necklaces""), var3 = mod(var1, var2), return(var3)"
270,Paige raised 16 goldfish and 71 catfish in the pond but stray cats loved eating them. Now she has 2 left.How many goldfish disappeared?,"var1 = find(goldfish raised), var2 = find(catfish raised), var3 = add(var1, var2), var4 = find(fish left), var5 = subtract(var3, var4), CALL, var6 = subtract(var1, var4), CALL, return(var6)"
2302,Todd has some gum. Steve gave him 16 more pieces of gum. Now Todd has 54 pieces of gum. How many pieces did Todd have to start with?,"var1 = find(Todd has gum), var2 = find(pieces of gum from Steve), var3 = subtract(var1, var2), CALL, return(var3)"
473,Jack received 4 emails and sent 2 letters in the morning. He then received 6 emails and sent 8 letters in the afternoon.How many emails did Jack send in the day?,"var1 = find(emails received in the morning), var2 = find(letters sent in the morning), var3 = find(emails received in the afternoon), var4 = find(letters sent in the afternoon), var5 = add(var2, var4), CALL, return(var5)"
232,Frank put some pieces of candy equally into 2 bags. If he had 16 pieces of candyHow many pieces of candy are in each bag?,"var1 = find(total candies), var2 = divide(var1, 2), CALL, return(var2)"
663,"Jack received 5 emails in the morning, 8 emails in the afternoon and 72 emails in the evening.How many emails did Jack receive in the morning and afternoon?","var1 = find(emails in the morning), var2 = find(emails in the afternoon), var3 = add(var1, var2), CALL, return(var3)"
460,Josh had 21 marbles in his collection. He found 7 marbles.How many marbles does he have now?,"var1 = find(Josh's initial marbles), var2 = find(marbles found), var3 = add(var1, var2), CALL, return(var3)"
190,The Razorback t-shirt shop makes $ 106 dollars off each t-shirt sold. During the Arkansas game and the Texas tech game they sold a total of 242 t-shirts. If they sold 115 t-shirts during the Arkansas gameHow many t-shirts did they sell during the Texas tech game?,"var1 = find(Arkansas t-shirts), var2 = subtract(242, var1), CALL, return(var2)"
815,"A chef bought 2 purple grapes and 2 green grapes. If he already had 3 grapes, how many grapes does he have now? ","var1 = find(starting grapes), var2 = find(purple grapes), var3 = find(green grapes), var4 = add(var2, var3), CALL, var5 = add(var1, var4), CALL, return(var5)"
2346,"Mr. Lee harvested 495 apples and he packed them evenly in some baskets. If there are 25 apples in each basket, how many baskets of apples are there?","var1 = find(apples harvested), var2 = find(apples per basket), var3 = divide(var1, var2), CALL, var3 = round_down(var3), CALL, return(var3)"
1977,Hannah is a professional skater. She practices 8 hours every weekend. She practices 17 more hours than that during the week. How many hours does Hannah practice each week?,"var1 = find(hours practiced on weekends), var2 = add(var1, 17), CALL, var3 = add(var1, var2), CALL, return(var3)"
550,Ryan learns english and chinese for 7 days. Every day he spends 4 hours on learning english and 5 hours on learning chinese.How many hours does he spend on learning english and chinese in all?,"var1 = find(hours spent in learning english), var2 = find(hours spent in learning chinese), var3 = add(var1, var2), var4 = find(days Ryan learns), var5 = multiply(var3, var4), CALL, return(var5)"
1584,"Tom had $19 and he wanted to buy as many folders as he could. If one folder costs $2, how much is left after he bought the folders?","var1 = find(Tom's money), var2 = find(folder cost), var3 = divide(var1, var2), CALL, var3 = round_down(var3), CALL, var4 = multiply(var2, var3), CALL, var5 = subtract(var1, var4), CALL, return(var5)"
363,Zachary did 44 push-ups and 17 crunches in gym class today. David did 29 more push-ups but 13 less crunches than zachary.How many crunches did David do?,"var1 = find(Zachary push-ups), var2 = find(push-up difference), var3 = add(var1, var2), var4 = find(Zachary crunches), var5 = find(crunch difference), var6 = add(var4, var5), CALL, return(var6)"
2298,"Christian's mother prepared lemonade. Every pitcher of lemonade can serve 5 glasses. If she was able to serve 30 glasses of lemonade, how many pitchers of lemonade did she prepare?","var1 = find(glasses of lemonade), var2 = find(glasses per pitcher), var1 = divide(var1, var2), CALL, return(var1)"
1795,"Melody made 26 cut-outs of Christmas trees with red shiny balls. If she planned to paste 4 of this to the front cover of a certain number of cards, how many cards will she be able to make?","var1 = find(cut-outs), var2 = find(cut-outs per card), var1 = divide(var1, var2), CALL, var4 = find(remainder), return(var1)"
405,"At the zoo, a cage had 95 snakes and 61 alligators. If 64 snakes were hidingHow many snakes were not hiding?","var1 = find(total snakes at zoo), var2 = find(snakes hiding), var3 = subtract(var1, var2), CALL, return(var3)"
2207,"It's getting dark so he decided to take one last stop. He took a cab to the Metropolitan Museum of Art. If he saw 465 pieces of Asian art and 527 pieces of Egyptian art, how many pieces of art did he see?","var1 = find(Asian art pieces), var2 = find(Egyptian art pieces), var1 = add(var1, var2), CALL, return(var1)"
1440,Frank was reading through his favorite book. The book had 672 pages and it took Frank 2 days to finish the book. How many pages did he read per day?,"var1 = find(pages), var2 = find(days to finish the book), var3 = divide(var1, var2), CALL, return(var3)"
890,Amy's dad was taking everyone out to eat for her birthday. They spent 5 dollars on the adults and 5 dollars on the kids. How much did it cost for everyone?,"var1 = find(dollars on adults), var2 = find(dollars on kids), var3 = add(var1, var2), CALL, return(var3)"
1484,"A restaurant critic reviewed restaurants in Richmond and Yardley. In Richmond, the critic gave 14 positive reviews and 20 negative reviews. In Yardley, 12 of the reviews were positive and 17 were negative. In which city did the restaurant critic give a higher ratio of positive to negative reviews?","var1 = find(""positive/negative ratio of reviews in Richmond""), var2 = find(""positive/negative ratio of reviews in Yardley""), var1 = compare(var1, var2), CALL, return(var1)"
510,Every day Ryan spends 5 hours on learning english and 4 hours on learning chinese. If he learns for 6 daysHow many hours does he spend on learning chinese in all?,"var1 = find(hours spent in learning english), var2 = find(hours spent in learning chinese), var3 = find(days learning), var4 = multiply(var2, var3), CALL, return(var4)"
572,He then went to see the oranges being harvested. He found out that they harvest 82 sacks of ripe oranges and 61 sacks of unripe oranges per day.How many sacks of ripe oranges will they have after 25 days of harvest?,"var1 = find(ripe oranges per day), var2 = find(days of harvest), var3 = multiply(var1, var2), CALL, return(var3)"
1049,"Morris observed two types of birds traveling: ducks and cranes. While the ducks traveled in flocks of 13, the cranes traveled in flocks of 17. If Morris observed the same total number of ducks and cranes, what is the smallest number of ducks that he could have observed?","var1 = find(ducks in flocks of 13), var2 = find(cranes in flocks of 17), var3 = lcm(var1,var2), CALL, return(var3)"
2157,"In Haley's class, 5 are boys who love to play marbles. If Haley has 35 marbles, how many will each of the boys receive?","var1 = find(marbles), var2 = find(boys), var1 = divide(var1, var2), CALL, return(var1)"
2016,Molly had 14 candles on her birthday cake. She grew older and got 6 more on her birthday cake. How old is Molly now?,"var1 = find(candles on birthday cake), var2 = find(more candles), var3 = add(var1, var2), CALL, return(var3)"
1193,"At a farm the ratio of cows to horses was 7:2. If there were 21 cows at the farm, how many horses were there?","var1 = find(cows), var2 = divide(var1, 7), var3 = multiply(var2, 2), CALL, return(var3)"
1412,Before lunch a waitress had already earned $5 in tips. After lunch she had 7 customers and each customer gave her a 2 dollar tip. How much money did she earn total?,"var1 = find(earnings before lunch), var2 = find(tips after lunch), var3 = find(tip per customer), var2 = var2 * var3, CALL, var1 = add(var1, var2), CALL, return(var1)"
2099,"If the all the participants found a total 40 eggs from the club house, 25 eggs from the park and 15 eggs from the town hall, how many Easter eggs were found that day?","var1 = find(club house eggs), var2 = find(village park eggs), var1 = add(var1, var2), CALL, var2 = find(town hall garden eggs), var1 = add(var1, var2), CALL, return(var1)"
1112,"Mike got twenty-eight GB of space on his disk drive to backup his files. If his files would take up twenty-six GB, how many GB would he have left?","var1 = find(total GB), var2 = find(files GB), var3 = subtract(var1, var2), CALL, return(var3)"
2255,Mrs. Hilt needs to share $3.75 equally among three total people. How much money will each person get?,"var1 = find(total money), var2 = find(people), var3 = divide(var1, var2), CALL, return(var3)"
2336,"Jasmine and her mom went to the grocery to buy some food. Her mom gave her $100.00 to spend. Since she loves fruits, she went to the fruits section first. There she bought apples and oranges worth $15.00. From the original $100.00 given by her mom, how much money was left for her to spend?","var1 = find(total amount given by mom), var2 = find(amount spent on apples and oranges), var1 = subtract(var1, var2), CALL, return(var1)"
1802,"Four girls were home all day one weekend preparing homemade treats. Anna made 33 blueberry cookies. If she shares this equally among her four friends, how many will each receive?","var1 = find(blueberry cookies), var2 = find(friends), var1 = divide(var1, var2), CALL, return(var1)"
587,Zachary did 46 push-ups and 58 crunches in gym class today. David did 38 more push-ups but 62 less crunches than zachary.How many more crunches than push-ups did Zachary do?,"var1 = find(push-ups by Zachary), var2 = find(crunches by Zachary), var3 = find(more push-ups by David), var4 = add(var1, var3), var5 = find(less crunches by David), var6 = subtract(var2, var5), var7 = subtract(var2, var6), CALL, return(var7)"
1555,"Denise is getting older and feels like she should donate her collection of stuffed animals to children who are less fortunate. She has 14 stuffed cats and 7 stuffed dogs, which she wants to divide into identical groups, with no stuffed animals left over. What is the greatest number of groups Denise can place her stuffed animals into?","var1 = find(stuffed cats), var2 = find(stuffed dogs), var3 = gcd(var1, var2), return(var3)"
231,Katie had 81 ds games and her friends had 59 games.How many more games does Katie have than her friends?,"var1 = find(Katie games), var2 = find(friend games), var3 = subtract(var1, var2), CALL, return(var3)"
2146,Maria had twenty-five pieces of gum. Tommy gave her sixteen more pieces. Luis gave her twenty more pieces. How many pieces of gum does Maria have now?,"var1 = find(Maria's gum), var2 = find(gum from Tommy), var3 = add(var1, var2), CALL, var4 = find(gum from Luis), var5 = add(var3, var4), CALL, return(var5)"
2105,Rob also compared the Empire State Building and the Petronas Towers. What is the height difference between the two if the Empire State Building is 443 m tall and the Petronas Towers is 452 m tall?,"var1 = find(height of Petronas Towers), var2 = find(height of Empire State Building), var1 = subtract(var1, var2), CALL, return(var1)"
842,"Paige had 2 pencils in her desk, 2 in her backpack and 15 at home. How many pencils does Paige have? ","var1 = find(desk pencils), var2 = find(backpack pencils), var3 = find(home pencils), var4 = add(var1, var2), CALL, var5 = add(var4, var3), CALL, return(var5)"
2243,Gary had 73 dollars. He spent 55 dollars on a pet snake. How many dollars did Gary have left?,"var1 = find(Gary's dollars), var2 = find(dollars spent on snake), var1 = subtract(var1, var2), CALL, return(var1)"
259,"3 red peaches, and some more green peaches are in the basket. If there are 10 more green peaches than red peaches in the basketHow many green peaches are in the basket?","var1 = find(red peaches), var2 = find(difference), var3 = add(var1, var2), CALL, return(var3)"
1056,Peter's Party Zone sells cups in packages of 6 and plates in packages of 8. Shaniya is hosting a birthday party for her little sister and wants to have the same number of each item. What is the least number of packages of plates Shaniya needs to buy?,"var1 = find(cups), var2 = find(plates), var3 = lcm(var1,var2), CALL, return(var3)"
145,The Ferris wheel in paradise park has 2 small seats and 23 large seats. Each small seat can hold 14 people and large seat can hold 54 people.How many people can ride the Ferris wheel on small seats?,"var1 = find(small seats), var2 = multiply(var1, 14), CALL, return(var2)"
1999,"Willy has 5,092 crayons. Lucy has 3,971 crayons. How many more crayons does Willy have than Lucy?","var1 = find(Willy crayons), var2 = find(Lucy crayons), var1 = subtract(var1, var2), return(var1)"
862,"At a school event, adults are seated in groups of exactly 17 and children are seated in groups of exactly 15. If there are the same number of adults as children, what is the minimum number of adults attending?","var1 = find(""group of adults""), var2 = find(""group of children""), var3 = find_lcm(var1, var2), return(var3)"
1160,"At the arcade Dave won 11 tickets. If he spent 5 tickets on a beanie and later won 10 more tickets, how many would he have?","var1 = find(Dave's tickets), var2 = find(spent tickets), var1 = subtract(var1, var2), CALL, var2 = find(newly won tickets), var1 = add(var1, var2), CALL, return(var1)"
230,There were 100 dollars in Olivia's wallet. She collected 148 more dollars from an atm. After she visited a supermarket there were 159 dollars left.How much did she spend?,"var1 = find(total dollars), var2 = find(dollars left), var3 = subtract(var1, var2), CALL, return(var3)"
933,"Tim has a bag of 36 orange-flavoured sweets and Peter has a bag of 44 grape-flavoured sweets. They have to divide up the sweets into small trays with equal number of sweets; each tray containing either orange-flavoured or grape-flavoured sweets only. If there is no remainder, what is the largest possible number of sweets in each tray?","var1 = find(36 orange-flavoured sweets), var2 = find(44 grape-flavoured sweets), var3 = gcd(var1,var2), CALL, var4 = var1/var3, var5 = var2/var3, return(var3)"
255,Haley grew some trees in her backyard. After a typhoon 5 died. If 12 trees were leftHow many trees did she grow?,"var1 = find(trees left), var2 = find(trees died), var3 = add(var1, var2), CALL, return(var3)"
1839,Ethan and Frank went rowing. Ethan rowed the boat from 10:50 to 11:15. Frank rowed the boat twice as long. How long did the boys row the boat altogether?,"var1 = find(Ethan's rowing time), var2 = multiply(var1, 2), var3 = add(var1, var2), return(var3)"
884,"On a track for remote-controlled racing cars, racing car A completes the track in 28 seconds, while racing car B completes it in 24 seconds. If they both start at the same time, after how many seconds will they be side by side again?","var1 = find(racing car A completes in 28 seconds), var2 = find(racing car B completes in 24 seconds), var3 = lcm(var1,var2), CALL, return(var3)"
585,Allan brought 5 balloons and Jake brought 3 balloons to the park.How many more balloons did Allan have than Jake in the park?,"var1 = find(balloons by Allan), var2 = find(balloons by Jake), var3 = subtract(var1, var2), CALL, return(var3)"
566,There are 203 bananas and 63 oranges in Philip's collection. If the bananas are organized into 7 groups and oranges are organized into 95 groupsHow big is each group of bananas?,"var1 = find(bananas), var2 = find(banana groups), var3 = divide(var1, var2), CALL, return(var3)"
1087,"George bought 17 pieces of candy to give to 5 of his friends. If he wants to give each friend the same amount, how many pieces would he have left over?","var1 = find(""candy pieces""), var2 = find(""friends""), var3 = mod(var1, var2), return(var3)"
1105,"For Halloween Tom received twenty pieces of candy. If he put them into piles with five in each pile, how many piles could he make?","var1 = find(candy pieces), var2 = find(pieces per pile), var3 = divide(var1, var2), CALL, return(var3)"
2240,Mrs. Franklin had 58 Valentines. Mrs. Franklin gave some to her students. Now she has 16. How many Valentines did Mrs. Franklin give to her students?,"var1 = find(Mrs. Franklin had Valentines), var2 = find(Mrs. Franklin has Valentines), var3 = subtract(var1, var2), CALL, return(var3)"
650,"After making some pies, chef had 2 apples left. Initially he had 43 applesHow many apples did he use?","total_apples = find(total apples), remaining_apples = find(remaining apples), used_apples = subtract(total_apples, remaining_apples), CALL, return(used_apples)"
2229,"Isabella's hair is 18 cubes long. If her hair grows 4 more inches, how long will it be?","var1 = find(Isabella's hair is cubes long), var2 = find(grows in inches), var3 = add(var1, var2), CALL, return(var3)"
621,Because of the decision Sofia asked 288 students to suggest specific types of food. 264 students suggested adding bacon while others suggested adding mashed potatoes to the menu.How many students suggested mashed potatoes?,"var1 = find(total students Sofia asked), var2 = find(students suggested bacon), var3 = subtract(var1, var2), CALL, return(var3)"
2294,Jordon put a new number into her machine. The machine doubled it then added 3 more. The number 27 came out of the machine. What number do you think Jordon put in her machine?,"var1 = find(result), var2 = subtract(var1, 3), var3 = divide(var2, 2), return(var3)"
1353,Paige used three of her pencils. Now she has ninety-one pencils. How many pencils did Paige have to begin with? ,"var1 = find(left pencils), var2 = find(used pencils), var3 = add(var1, var2), CALL, return(var3)"
1912,Cade had 87 marbles. He gave 8 to Dylan. How many does he have left?,"var1 = find(Cade had marbles), var2 = find(gave to Dylan), var3 = subtract(var1, var2), CALL, return(var3)"
1517,"Michelle likes to save money every now and then so that she has money to buy the things that she wants. One day, she decided to count her savings. She opened her piggy bank and sorted out the different coins and dollar bills. If she counted a total of 20 nickels (a nickel is equivalent to 5 cents), what is the total value of money does she have in nickels?","var1 = find(number of nickels), var2 = find(value per nickel), var1 = multiply(var1, var2), CALL, return(var1)"
191,The Razorback t-shirt shop makes $ 23 dollars off each t-shirt sold. During the Arkansas and Texas tech game they made $ 230 by selling t-shirts.How many t-shirts did they sell?,"var1 = find(profit), var2 = divide(var1, 23), CALL, return(var2)"
1455,A pet store had 2 dogs. On Sunday they got 5 more. On Monday they got 3 more. How many dogs does the pet store have now? ,"var1 = find(starting dogs), var2 = find(Sunday dogs), var1 = add(var1, var2), CALL, var2 = find(Monday dogs), var1 = add(var1, var2), CALL, return(var1)"
1086,Ronald and Tim both did their laundry today. Ronald does laundry every 6 days and Tim does laundry every 9 days. How many days will it be until Ronald and Tim both do laundry on the same day again?,"var1 = find(Ronald laundry every 6 days), var2 = find(Tim laundry every 9 days), var3 = lcm(var1,var2), CALL, return(var3)"
85,"Jack received 10 emails in the morning, 5 emails in the afternoon and 4 emails in the evening.How many more emails did Jack receive in the afternoon than in the evening?","var1 = find(morning emails), var2 = find(afternoon emails), var3 = find(evening emails), var4 = add(var1, var2), CALL, var5 = add(var4, var3), CALL, var6 = subtract(var2, var3), CALL, return(var6)"
742,"A book store had 4 books in the bargin bin. If they sold 3 books, but then put 10 more in the bin, how many books would be in the bin?","var1 = find(books in the bin), var2 = find(sold books), var1 = subtract(var1, var2), CALL, var2 = find(new books added to the bin), var1 = add(var1, var2), CALL, return(var1)"
2133,There are 42 boys in the computer club. There are 9 fewer girls than boys in the club. How many children are in the computer club altogether?,"var1 = find(boys in club), var2 = subtract(var1, 9), CALL, var3 = add(var1, var2), CALL, return(var3)"
632,"Jack received 3 emails in the morning, 4 emails in the afternoon and 8 emails in the evening.How many emails did Jack receive in the morning and evening?","var1 = find(morning emails), var2 = find(evening emails), var3 = add(var1, var2), CALL, return(var3)"
2145,Sandy had twenty-six pet fish. She bought six more fish. How many pet fish does Sandy have now?,"var1 = find(pet fish), var2 = find(more fish), var3 = add(var1, var2), CALL, return(var3)"
2058,"Their last stop was the largest of them all, Lake Superior. Tired with their travels, they decided to do less fishing and enjoy the lake's beauty instead. They were able to catch 15 catfishes, 20 sturgeons, 25 pikes and 10 eels. How many fishes were caught from Lake Superior?","var1 = find(catfishes), var2 = find(sturgeons), var1 = add(var1, var2), CALL, var2 = find(pikes), var1 = add(var1, var2), CALL, var2 = find(eels), var1 = add(var1, var2), CALL, return(var1)"
1259,Bianca spent twenty-two minutes drawing at school and nineteen minutes drawing at home. How many minutes total did she spend drawing?,"var1 = find(school drawing time), var2 = find(home drawing time), var1 = add(var1, var2), CALL, return(var1)"
268,16 people can ride the Ferris wheel in paradise park at the same time. If the Ferris wheel has 4 seatsHow many people can each seat hold?,"var1 = find(people on Ferris wheel), var2 = find(seats on Ferris wheel), var3 = divide(var1, var2), CALL, return(var3)"
1492,"Katie had 9 math problems for homework. If she finished 5 of them on the bus ride home, how many more did she have to do?","var1 = find(math problems), var2 = find(problems finished), var3 = subtract(var1, var2), CALL, return(var3)"
578,David did 27 more push-ups but 7 less crunches than Zachary in gym class today. If Zachary did 5 push-ups and 17 crunchesHow many more crunches than push-ups did Zachary do?,"var1 = find(push-ups by Zachary), var2 = find(crunches by Zachary), var3 = find(push-ups more than Zachary), var4 = find(crunches less than Zachary), var5 = add(var1, var3), var6 = subtract(var2, var4), var7 = subtract(var2, var1), CALL, return(var7)"
180,"A grocery store had 72 bottles of regular soda, 32 bottles of diet soda and 78 apples.How many more bottles than apple did they have?","var1 = find(regular soda), var2 = add(var1, 32), CALL, var3 = subtract(var2, 78), CALL, return(var3)"
1986,"After a week, Sofia did a survey to ask if the students liked the new menu. She found out that 235 students liked the new menu while 165 didn't. How many students took part in Sofia's survey?","var1 = find(students who liked the new menu), var2 = find(students who didn't like the new menu), var1 = add(var1, var2), CALL, return(var1)"
142,Haley has 20 marbles. In her class 2 boys love to play marbles. If she distributes her marbles equallyHow many will each of the boys receive?,"var1 = find(Haley marbles), var2 = divide(var1, 2), CALL, return(var2)"
